Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5220756742,cha457 (4/17),0,164.55,1B Jared Young 2B Xavier Edwards 3B Bo Bichette C Agustin Ramirez OF Heriberto Hernandez OF Esteury Ruiz OF Javier Sanoja P Dylan Cease P Eury Perez SS Francisco Lindor,,Dylan Cease,P,66.84%,27.25
2,5220753612,XYZee03 (2/17),0,160.55,1B Jared Young 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Fernando Tatis Jr. OF Heriberto Hernandez OF Gavin Sheets P Dylan Cease P Eury Perez SS Otto Lopez,,Eury Perez,P,37.71%,19.3
3,5220751782,Wanna_Square_Up1567 (2/17),0,157.7,1B Matt Olson 2B Bryson Stott 3B Leo Jimenez C Agustin Ramirez OF Michael Harris II OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Christian Scott SS Otto Lopez,,Francisco Lindor,SS,34.01%,7
4,5220753620,XYZee03 (10/17),0,156.7,1B Matt Olson 2B Jorge Polanco 3B Javier Sanoja C Agustin Ramirez OF Michael Harris II OF Heriberto Hernandez OF Jakob Marsee P Dylan Cease P Christian Scott SS Otto Lopez,,Corbin Carroll,OF,33.00%,8
5,5220753617,XYZee03 (7/17),0,152.7,1B Munetaka Murakami 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Sam Antonacci OF Heriberto Hernandez OF TJ Friedl P Dylan Cease P Christian Scott SS Otto Lopez,,Agustin Ramirez,C,32.15%,21
5,5220753622,XYZee03 (12/17),0,152.7,1B Jared Young 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF A.J. Ewing OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Christian Scott SS Francisco Lindor,,Christian Scott,P,29.97%,21.45
7,5220766602,tvielkin (1/7),0,151.7,1B Munetaka Murakami 2B Xavier Edwards 3B Leo Jimenez C Agustin Ramirez OF A.J. Ewing OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Christian Scott SS Francisco Lindor,,Heriberto Hernandez,OF,27.44%,20
7,5220783684,colemandizzy,0,151.7,1B Matt Olson 2B Xavier Edwards 3B Nick Yorke C Agustin Ramirez OF Corbin Carroll OF Michael Harris II OF Braden Montgomery P Dylan Cease P Christian Scott SS Jared Triolo,,Jared Young,1B,21.21%,12
9,5220751783,Wanna_Square_Up1567 (3/17),0,151.55,1B Abimelec Ortiz 2B Jake Cronenworth 3B Leo Jimenez C Agustin Ramirez OF Fernando Tatis Jr. OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Otto Lopez,,Gabriel Moreno,C,19.53%,14
10,5220753624,XYZee03 (14/17),0,150.7,1B Jared Young 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Carson Benge OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Christian Scott SS Francisco Lindor,,Sean Burke,P,19.53%,0.95
10,5220753625,XYZee03 (15/17),0,150.7,1B Munetaka Murakami 2B Xavier Edwards 3B Leo Jimenez C Agustin Ramirez OF Jackson Merrill OF Heriberto Hernandez OF Gavin Sheets P Dylan Cease P Christian Scott SS Otto Lopez,,A.J. Ewing,OF,18.69%,2
10,5220756744,cha457 (6/17),0,150.7,1B Matt Olson 2B Xavier Edwards 3B Eugenio Suarez C Agustin Ramirez OF Heriberto Hernandez OF Esteury Ruiz OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Otto Lopez,,Carson Benge,OF,17.51%,0
13,5220773450,Thegamejoshyd44 (5/17),0,150.55,1B Alec Bohm 2B Xavier Edwards 3B Colson Montgomery C Agustin Ramirez OF Jarren Duran OF Heriberto Hernandez OF Tim Tawa P Dylan Cease P Eury Perez SS Francisco Lindor,,Geraldo Perdomo,SS,17.00%,0
