Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5220785666,LordofRings6 (1/2),23.84,120.55,1B Matt Olson 2B Royce Lewis 3B Brooks Lee C James McCann OF Ronald Acuna Jr. OF Mike Yastrzemski OF Tim Tawa P Dylan Cease P Eury Perez SS Kaelen Culpepper,,Dylan Cease,P,66.84%,27.25
2,5220783032,dean78904 (4/6),24.35,118.7,1B Matt Olson 2B Jake Cronenworth 3B Ryan McMahon C Drake Baldwin OF Ronald Acuna Jr. OF Dominic Smith OF Brett Baty P Dylan Cease P Dean Kremer SS Francisco Lindor,,Eury Perez,P,37.71%,19.3
2,5220785738,FATEFELLSHORT (1/16),16.849998,118.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Francisco Lindor,SS,34.01%,7
2,5220785752,FATEFELLSHORT (3/16),16.849998,118.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Corbin Carroll,OF,33.00%,8
2,5220785779,FATEFELLSHORT (5/16),16.849998,118.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Agustin Ramirez,C,32.15%,3
2,5220787665,FATEFELLSHORT (7/16),16.849998,118.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Christian Scott,P,29.97%,17.45
2,5220787670,FATEFELLSHORT (9/16),16.849998,118.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Heriberto Hernandez,OF,27.44%,2
2,5220787682,FATEFELLSHORT (11/16),16.849998,118.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Jared Young,1B,21.21%,12
2,5220787691,FATEFELLSHORT (13/16),16.849998,118.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Gabriel Moreno,C,19.53%,14
2,5220787695,FATEFELLSHORT (15/16),16.849998,118.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Sean Burke,P,19.53%,0.95
11,5220787903,MoneyMatt711 (2/3),25.34,117.55,1B Jared Young 2B Kody Clemens 3B Bo Bichette C Drew Romo OF A.J. Ewing OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Francisco Lindor,,A.J. Ewing,OF,18.69%,2
12,5220783769,FantasyCrusader (7/8),28.17,115.7,1B Jared Young 2B Kody Clemens 3B Bo Bichette C Luis Torrens OF Byron Buxton OF Carson Benge OF Trevor Larnach P Dylan Cease P Dean Kremer SS Francisco Lindor,,Carson Benge,OF,17.51%,0
12,5220754562,hurtemhorns,25.51,115.7,1B Jared Young 2B Kody Clemens 3B Bo Bichette C Gabriel Moreno OF Carson Benge OF A.J. Ewing OF Trevor Larnach P Dylan Cease P Dean Kremer SS Francisco Lindor,,Geraldo Perdomo,SS,17.00%,0
