P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Chris Sale (43854626),Chris Sale,43854626,P,10300,ATL@MIN 08/17/2026 07:40PM ET,ATL,23.26
,,,,,,,,,,,SP,Tarik Skubal (43854627),Tarik Skubal,43854627,P,10000,LAD@COL 08/17/2026 08:40PM ET,LAD,21.76
,,,,,,,,,,,SP,Tyler Glasnow (43854628),Tyler Glasnow,43854628,P,10000,LAD@COL 08/17/2026 08:40PM ET,LAD,22.21
,,,,,,,,,,,SP,Yoshinobu Yamamoto (43854629),Yoshinobu Yamamoto,43854629,P,10000,LAD@COL 08/17/2026 08:40PM ET,LAD,22.05
,,,,,,,,,,,SP,Nolan McLean (43854269),Nolan McLean,43854269,P,9800,SD@NYM 08/17/2026 07:10PM ET,NYM,18.86
,,,,,,,,,,,SP,Troy Melton (43854630),Troy Melton,43854630,P,9500,DET@PIT 08/17/2026 07:05PM ET,DET,20.10
,,,,,,,,,,,SP,Payton Tolle (43854632),Payton Tolle,43854632,P,9300,ARI@BOS 08/17/2026 07:10PM ET,BOS,19.56
,,,,,,,,,,,SP,Garrett Crochet (43854633),Garrett Crochet,43854633,P,9300,ARI@BOS 08/17/2026 07:10PM ET,BOS,13.78
,,,,,,,,,,,SP,Spencer Schwellenbach (43854631),Spencer Schwellenbach,43854631,P,9300,ATL@MIN 08/17/2026 07:40PM ET,ATL,0
,,,,,,,,,,,SP,Paul Skenes (43854634),Paul Skenes,43854634,P,9300,DET@PIT 08/17/2026 07:05PM ET,PIT,18.07
,,,,,,,,,,,SP,Nick Pivetta (43854635),Nick Pivetta,43854635,P,9200,SD@NYM 08/17/2026 07:10PM ET,SD,15.3
,,,,,,,,,,,SP,Joe Ryan (43854636),Joe Ryan,43854636,P,9000,ATL@MIN 08/17/2026 07:40PM ET,MIN,16.49
,,,,,,,,,,,SP,Taj Bradley (43854637),Taj Bradley,43854637,P,9000,ATL@MIN 08/17/2026 07:40PM ET,MIN,17.35
,,,,,,,,,,,SP,Blake Snell (43854270),Blake Snell,43854270,P,9000,LAD@COL 08/17/2026 08:40PM ET,LAD,16.52
,,,,,,,,,,,SP,Michael Wacha (43854271),Michael Wacha,43854271,P,8800,ATH@KC 08/17/2026 07:40PM ET,KC,15.42
,,,,,,,,,,,SP,Cole Ragans (43854640),Cole Ragans,43854640,P,8800,ATH@KC 08/17/2026 07:40PM ET,KC,13.19
,,,,,,,,,,,SP,Sean Burke (43854638),Sean Burke,43854638,P,8800,CWS@CHC 08/17/2026 08:05PM ET,CWS,18.21
,,,,,,,,,,,SP,Tylor Megill (43854639),Tylor Megill,43854639,P,8800,SD@NYM 08/17/2026 07:10PM ET,NYM,0
,,,,,,,,,,,SP,Corbin Burnes (43854641),Corbin Burnes,43854641,P,8700,ARI@BOS 08/17/2026 07:10PM ET,ARI,0
,,,,,,,,,,,SP,Shota Imanaga (43854272),Shota Imanaga,43854272,P,8500,CWS@CHC 08/17/2026 08:05PM ET,CHC,16.33
,,,,,,,,,,,SP,Matthew Boyd (43854643),Matthew Boyd,43854643,P,8500,CWS@CHC 08/17/2026 08:05PM ET,CHC,14.40
,,,,,,,,,,,RP,Ben Brown (43854644),Ben Brown,43854644,P,8500,CWS@CHC 08/17/2026 08:05PM ET,CHC,11.57
,,,,,,,,,,,SP,Kevin Gausman (43854645),Kevin Gausman,43854645,P,8500,CWS@CHC 08/17/2026 08:05PM ET,CHC,14.53
,,,,,,,,,,,RP,Clay Holmes (43854646),Clay Holmes,43854646,P,8500,CWS@CHC 08/17/2026 08:05PM ET,CHC,16.64
,,,,,,,,,,,SP,Casey Mize (43854642),Casey Mize,43854642,P,8500,SD@NYM 08/17/2026 07:10PM ET,SD,15.87
