tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Mickelson, Phil",1547,6700,0.0136,1,0,0,0,0,75.5,30,105.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Koepka, Brooks",16243,9500,0.0393,T2,0,0,0,0,76.0,20,96.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Oosthuizen, Louis",7672,8000,0.1035,T2,0,0,0,0,67.5,20,87.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Rose, Justin",6093,8100,0.0429,T8,6,0,0,0,68.5,9,83.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Harrington, Padraig",5716,6300,0.0015,T4,0,0,0,0,64.0,16,80.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Casey, Paul",7108,7700,0.1368,T4,0,0,0,0,60.5,16,76.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Zalatoris, Will",19428,8800,0.1374,T8,0,0,0,0,66.5,9,75.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Lowry, Shane",13900,7800,0.0602,T4,0,0,0,0,59.5,16,75.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Fitzpatrick, Matt",17646,8400,0.081,T23,3,0,0,0,68.0,4,75.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Hoffman, Charley",5768,7300,0.0786,T17,3,0,0,0,66.5,5,74.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Higgs, Harry",14140,6400,0.0024,T4,0,3,0,0,54.5,16,73.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Scheffler, Scottie",18417,8500,0.0616,T8,0,0,0,0,63.0,9,72.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Kim, Chan",15004,6200,0.0012,T23,0,0,0,0,67.5,4,71.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Cantlay, Patrick",15466,9000,0.0455,T23,0,3,0,0,64.5,4,71.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Wise, Aaron",22051,7200,0.0077,T17,3,0,0,0,63.5,5,71.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Morikawa, Collin",22085,9800,0.1014,T8,3,0,0,0,59.5,9,71.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Finau, Tony",11676,8600,0.148,T8,0,0,0,0,61.5,9,70.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Ancer, Abraham",18238,7900,0.2227,T8,0,3,0,0,57.0,9,69.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Reed, Patrick",14838,9100,0.1223,T17,0,0,0,0,63.0,5,68.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Poulter, Ian",1435,7100,0.0087,T30,3,0,0,0,61.5,3,67.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Streelman, Kevin",8480,6700,0.0118,T8,0,0,0,0,58.0,9,67.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Horschel, Billy",11276,7200,0.0385,T23,0,0,0,0,62.5,4,66.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Woodland, Gary",12577,7500,0.0373,T38,3,0,0,0,61.5,2,66.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Rahm, Jon",19195,10500,0.1232,T8,0,0,0,0,57.0,9,66.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Fowler, Rickie",12965,7000,0.0196,T8,0,0,0,0,57.0,9,66.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Scrivener, Jason",12734,6300,0.0004,T23,0,0,0,0,61.5,4,65.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Im, Sungjae",17488,8300,0.0492,T17,0,0,0,0,59.5,5,64.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Laird, Martin",9586,6300,0.0035,T23,3,0,0,0,57.5,4,64.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Matsuyama, Hideki",13562,9400,0.0539,T23,0,0,0,0,60.5,4,64.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Hatton, Tyrrell",14796,8000,0.0892,T38,3,0,0,0,58.5,2,63.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Cink, Stewart",5665,6900,0.0558,T30,0,0,0,0,60.5,3,63.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Ortiz, Carlos",14735,6900,0.0135,T55,3,0,0,0,59.5,0,62.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Bezuidenhout, Christiaan",18103,6800,0.0356,T30,0,0,0,0,58.0,3,61.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Gooch, Talor",18580,6600,0.0162,T44,0,0,0,0,59.5,1,60.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Jones, Matt",8605,7100,0.0326,T30,0,0,0,0,57.5,3,60.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Grillo, Emiliano",12808,7000,0.062,T38,0,0,0,0,58.5,2,60.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Conners, Corey",17576,7600,0.1907,T17,0,0,0,0,55.5,5,60.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Hovland, Viktor",18841,9300,0.2633,T30,0,0,0,0,56.5,3,59.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Bradley, Keegan",13872,7300,0.1119,T17,0,0,0,0,54.5,5,59.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Stricker, Steve",4818,6500,0.0091,T44,0,0,0,0,58.5,1,59.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Grace, Branden",11952,6800,0.0084,T38,0,0,0,0,57.0,2,59.0
